Actual Price,Predicted Price
0.5507048416687362,230.20525774436075
0.5538337021309467,228.75797254752416
0.5398581451061771,228.3901803564878
0.5298456791075794,228.49515427354683
0.5443220583290207,228.42418119546227
0.5439464305680808,228.23834626814377
0.5479931322909651,227.76659869622398
0.5643467294916076,227.58102558173212
0.5601332130291249,227.66517688163862
0.5695198322328962,227.41717514488045
0.5777800183890308,226.8047578403879
0.5758193347709878,226.75640420934687
0.5759444546517738,226.60901598346825
0.5804500094266005,226.56466418132194
0.5722315443229459,226.8128072012315
0.5780720113573751,226.51430570712668
0.587083176588305,226.48278826812543
0.590879606368223,226.46855021306675
0.5985141521769416,226.22641971140195
0.6082343458760078,226.12309449758712
0.6004747914642468,225.87158624239183
0.5908379798074923,225.7822078874011
0.5866243760161112,225.48235147072594
0.5905042085767498,225.3896958070267
0.5857898846178092,225.47804258600956
0.5875004190482555,225.7632377920671
0.599848935811127,225.51347862310456
0.6019349570438066,225.38289688178733
0.6061485401161429,225.25352318186162
0.6048969942719369,225.01605722782756
